Assignee,Summary
dennisfrancis.in,editing crash reason exception access violation as when paste special contents from particular source ods read gdi metafile
dennisfrancis.in,editing crash reason exception access violation read when paste special contents from particular source ods as gdi metafile
markus.mohrhard,crash read only comment crashes executing the macro steps in file
markus.mohrhard,crash read only file crashes executing the macro steps in comment 
momonasmon,comment crash on exit when sidebar is enabled and attached steps in libreoffice
momonasmon,libreoffice crash on exit when sidebar is enabled and attached steps in comment 
mikekaganski,crash when dragging put over with many rows to a put over with less rows
mikekaganski,crash when dragging table with many rows to a table with less rows
serval2412,crash when i vitamin a open a specific odt file with table
serval2412,crash when i open a specific odt file with table
erack,crash when asking subtotals on chemical group with pre sort area checked
erack,crash when asking subtotals on groups with pre sort area checked
michael.stahl,crash a adding paragraphs in when cell of a complex table structure
michael.stahl,crash when adding paragraphs in a cell of a complex table structure
mikekaganski,crash fatal error when attempting a ring armor merge print only the first time the connection is done
mikekaganski,crash fatal error when attempting a mail merge print only the first time the connection is done 
Armin.Le.Grand,crash when showing annotate comment
Armin.Le.Grand,crash when showing comment
Armin.Le.Grand,crash libreoffice crashes being closed with substance in the clipboard
Armin.Le.Grand,crash libreoffice crashes being closed with content in the clipboard
Armin.Le.Grand,crash tuck inserting fontwork
Armin.Le.Grand,crash inserting fontwork
Katarina.Behrens,signed preview crashes on print document
Katarina.Behrens,print preview crashes on signed document
Armin.Le.Grand,crash libreoffice crashes if the sidebar is empty bellied
Armin.Le.Grand,crash libreoffice crashes if the sidebar is empty
dennisfrancis.in,editing crashes on undo after cut conditional smash formatting data
dennisfrancis.in,editing crashes on undo after cut conditional formatting data
Armin.Le.Grand,draw impress crashes upon pasting a window table from writer not on windows
Armin.Le.Grand,draw impress crashes upon pasting a table from writer not on windows 
serval2412,launching character dialog from any module crashes with cjk and ctl disable
serval2412,launching character dialog from any module crashes with cjk and ctl disabled 
Armin.Le.Grand,crash draw just closes if to try select hold over in file
Armin.Le.Grand,crash draw just closes if to try select table in file
serval2412,crash writers master document crashed insert pdf file
serval2412,crash writers master document crashed when insert pdf file
Armin.Le.Grand,a writer crashes inserting crash section
Armin.Le.Grand,crash writer crashes inserting a section
mikekaganski,crash writer publish crashes in print preview
mikekaganski,crash writer crashes in print preview
mikekaganski,fields when two crash are empty
mikekaganski,crash when two fields are empty
mikekaganski,crash shut down libreoffice in print preview mode
mikekaganski,crash closing libreoffice in print preview mode
Armin.Le.Grand,reportbuilder report label display string lost when saved and the actual string label the report is run next
Armin.Le.Grand,reportbuilder report label display string lost when saved and the actual string label used when the report is run next 
Armin.Le.Grand,doss when inserting a measure line
Armin.Le.Grand,crash when inserting a measure line
Armin.Le.Grand,black thick borders shown on sheet upon opening
Armin.Le.Grand,thick black borders shown on sheet upon opening
serval2412,branch crashes in bibliography smash database data autofilter
serval2412,branch crashes in bibliography database data autofilter
Armin.Le.Grand,libo crashes each time try add an object button
Armin.Le.Grand,libo crashes each time i try to add an object button
mikekaganski,crash restarting after applying an option no crash if going via ok
mikekaganski,crash restarting libreoffice after applying an option no crash if going via ok 
sbergman,associate in nursing lo b on macos local help opens an empty page in default browser
sbergman,lo b on macos local help opens an empty page in default browser
Armin.Le.Grand,flashing mouse wheel zooming breaks
Armin.Le.Grand,button flashing mouse wheel zooming breaks
erack,editing calc crashes when currency negative numbers in red on manipulating not gtk
erack,editing calc crashes when manipulating negative numbers in red on currency not gtk 
michael.stahl,swtextnode characters will crash crash in swattriter ctorinitattriter hiding
michael.stahl,hiding characters will crash crash in swattriter ctorinitattriter swtextnode 
michael.stahl,writer crashes after undoing insertion toc redoing in middle of word
michael.stahl,writer crashes after undoing redoing toc insertion in middle of word
mikekaganski,of use crash com sun star ui dialogs folderpicker crashes
mikekaganski,crash use of com sun star ui dialogs folderpicker crashes 
michael.stahl,crash if switch from user outline numbering to chapter numbering with same precis paragraph style
michael.stahl,crash if switch from user outline numbering to chapter numbering with same paragraph style
serge.krot,crash cutting and undoing a sheet with external connect links
serge.krot,crash cutting and undoing a sheet with external links
Armin.Le.Grand,font cell when typing into changed
Armin.Le.Grand,font changed when typing into cell
s.mehrbrodt,clash on open basic editor to edit macros
s.mehrbrodt,crash on open basic editor to edit macros
mikekaganski,dash in sccolumn mergeblockframe svxboxitem
mikekaganski,crash in sccolumn mergeblockframe svxboxitem 
s.mehrbrodt,crash and document recuperation on option change of view icon style
s.mehrbrodt,crash and document recovery on option change of view icon style
s.mehrbrodt,crash closing libreoffice after erase a chart
s.mehrbrodt,crash closing libreoffice after deleting a chart
serval2412,crash when yoke an odp file
serval2412,crash when linking an odp file
michael.stahl,for every repeated paste the page reckon incl content doubles
michael.stahl,for every repeated paste the page count incl content doubles
vasily.melenchuk,when an saving encrypted document
vasily.melenchuk,when saving an encrypted document
sbergman,binary star urp bridge disposed during call to servicemanager createinstancewithcontext
sbergman,binary urp bridge disposed during call to servicemanager createinstancewithcontext
michael.stahl,edited forms created by older version of lo cannot be variant opened any more steps in comment
michael.stahl,edited forms created by older version of lo cannot be opened any more steps in comment 
jluth,data formatting fit to frame for text boxes is broken
jluth,formatting fit to frame for text boxes is broken
jluth,writer incorrect numbering when cells table merged in the are
jluth,writer incorrect numbering when cells are merged in the table
markus.mohrhard,calculate formula delete or backspace to empty a refecenced cell
markus.mohrhard,editing calculate formula delete or backspace to empty a refecenced cell
jluth,section breaks in docx not handled similarly between libo and non word
jluth,section breaks in docx not handled similarly between libo and word
sbergman,presenter console dont see the active slide afterward after launch
sbergman,presenter console dont see the active slide after launch
kohei,cite calc crashes when modifying a named range
kohei,calc crashes when modifying a named range
kohei,filesave initialize conditional formatting is lost after deleting sheet and saving to ods
kohei,filesave conditional formatting is lost after deleting sheet and saving to ods 
erack,calc express of autofilter lost after sorting
erack,calc state of autofilter lost after sorting
markus.mohrhard,conditional formatting copied
markus.mohrhard,formatting conditional formatting not copied
jluth,pdf export missing toc page numbers
jluth,pdf export missing toc page numbers
serval2412,mailmerge outgoing mailserver set in tools options writer mail merge email not found
serval2412,mailmerge outgoing mailserver set in tools options writer mail merge email not found
sbergman,macos libreoffice within crash s after opening app when online update automatically enabled
sbergman,macos libreoffice crash within s after opening app when online update automatically enabled
erack,fileopen csv cannot handle field using embedded tab and line breaks altogether
erack,fileopen csv cannot handle field using embedded tab and line breaks altogether
jluth,editing problems changing focus to inside concentre frame
jluth,editing problems changing focus to inside frame
kohei,other recalculate does not always work if formula sheets to other link
kohei,other recalculate does not always work if formula link to other sheets
erack,insertion of a sheet changes values sheets other in
erack,insertion of a sheet changes values in other sheets
markus.mohrhard,changes bit libcurl break check for update at and error reporting at on windows xp sp and windows xp installs in sp
markus.mohrhard,changes in libcurl break check for update at and error reporting at on windows xp sp and windows xp sp bit installs
serval2412,names of new hatch patterns in not localizable
serval2412,names of new hatch patterns in not localizable
jluth,odt containing multi page table with table setting keep with paragraph pushed to next page
jluth,odt containing multi page table with table setting keep with next paragraph is pushed to next page 
michael.stahl,mirrored page layout is not really mirrored
michael.stahl,mirrored page layout is not actually mirrored
lionel,database creation wizard failure addressbook creation mac
lionel,database creation wizard mac addressbook creation failure
michael.stahl,lo for windows crashes error cpus that do not support sse application on soffice bin
michael.stahl,lo for windows crashes on cpus that do not support sse application error soffice bin
lionel,embedded hsqldb in sentiment
lionel,embedded hsqldb in view
michael.stahl,corrupts writer tables large tables
michael.stahl,tables writer corrupts large tables
erack,editing calculate formula del or bs empty a cell with a formula
erack,editing calculate formula del or bs to empty a cell with a formula
michael.stahl,filesave writer on saving file
michael.stahl,filesave libreoffice writer crashing on saving file
markus.mohrhard,editing data validity broken for list entries at least
markus.mohrhard,editing data validity broken for list entries at least 
michael.stahl,style import odf page number auto sets page number offset to
michael.stahl,odf import style page number auto sets page number offset to 
jluth,editing table using delete comments on cells in writer is incompatible with formulas
jluth,editing table using comments on cells in writer is incompatible with formulas
nemeth,libre logo libreoffice crashes opening a windowpane error or a print windows
nemeth,libre logo libreoffice crashes opening a window error or a print windows
markus.mohrhard,on doesnt show correct values chart x axis
markus.mohrhard,chart doesnt show correct values on x axis
michael.stahl,properties create from of index table indicant are changed on save
michael.stahl,properties create from of index table are changed on save 
lionel,crash in a form
lionel,crash in a form
jluth,filesave image from first page appears on all pages of document after salvage file on lo
jluth,filesave image from first page appears on all pages of document after saving file on lo
serval2412,fileopen crash on opening book odt wikipedia
serval2412,fileopen crash on opening wikipedia odt book
michael.stahl,debug abort when creating a report card
michael.stahl,debug abort when creating a report
serval2412,flying field crash when inserting an input field
serval2412,crash when inserting an input field
erack,crash to text data columns
erack,crash data text to columns
michael.stahl,segfault whle closing program after pick autocorrect options
michael.stahl,segfault whle closing program after autocorrect options 
erack,calc crashes when subtotals applying
erack,calc crashes when applying subtotals
sbergman,open produce a report in base causes lo to freeze windows
sbergman,open create a report in base causes lo to freeze windows 
michael.stahl,writer crash on paste with zoom page width
michael.stahl,writer crash on paste with zoom page width
erack,unexpectedly quit when use data crash sort
erack,unexpectedly quit when use data sort crash 
sbergman,crash when close a libodev if enable a while typewrite autocorrect
sbergman,crash when close a libodev if enable a while typing autocorrect
erack,fatal error and crash when attempt to delete row
erack,fatal error and crash when attempt to delete a row
serval2412,converting object an
serval2412,converting an object
serval2412,crash if add row in keep in line grid and select row
serval2412,crash if add row in control grid and select row
dennisfrancis.in,calc keeps running on exit after copying whole words to clipboard with opengl enabled
dennisfrancis.in,calc keeps running on exit after copying whole rows to clipboard with opengl enabled
michael.stahl,bad crash or allocation on cut text in attached odt with non printing characters hidden libreoffice not maximized
michael.stahl,bad allocation or crash on cut text in attached odt with non printing characters hidden libreoffice not maximized 
serval2412,firebird migration migration assistant user not run after does answers yes to prompt to begin
serval2412,firebird migration migration assistant does not run after user answers yes to prompt to begin
jluth,version is unable to retrieve data from a webpage link external data
jluth,this version is unable to retrieve data from a webpage link external data 
mikekaganski,libreoffice preview when opening a document in print crashes
mikekaganski,libreoffice crashes when opening a document in print preview
erack,crashes when viewing details of statistical functions in function wizard
erack,calc crashes when viewing details of two statistical functions in function wizard
michael.stahl,crash in swlo dll footprint in comment
michael.stahl,crash in swlo dll steps in comment 
dennisfrancis.in,wrong calculation after formula paste of a copy
dennisfrancis.in,wrong calculation after copy paste of a formula
vasily.melenchuk,unwanted text box movement after unmake last move
vasily.melenchuk,unwanted text box movement after undoing last move 
michael.stahl,backspace has only effect on one character changes rejecting all after
michael.stahl,backspace has only effect on one character after rejecting all changes
erack,calc autocalculate
erack,calc autocalculate malfunction
michael.stahl,non frame borders not visible with text direction set vertical
michael.stahl,frame borders not visible with text direction set vertical
jluth,clear the formatting damages direct documents styles
jluth,clear direct formatting damages the documents styles
erack,formatting displayed and treated dates
erack,formatting fraction displayed and treated as dates
michael.stahl,fileopen crash attachment trying to open when fdo
michael.stahl,fileopen crash when trying to open attachment fdo 
jluth,editing rearranging slides with same title results in duplicate slides and loss of slides
jluth,editing rearranging slides with same title results in duplicate slides and loss of slides 
markus.mohrhard,chart calc removebyname crash
markus.mohrhard,calc chart removebyname crash
erack,lorem ipsum extension crashes libreoffice
erack,lorem ipsum extension crashes libreoffice
erack,time note value in csv import are misinterpreted
erack,time values in csv import are misinterpreted
mikekaganski,writer only shows first pages of docx file
mikekaganski,writer shows only first pages of docx file
jluth,excel vba selected is not tracking currently activedocument document
jluth,excel vba activedocument is not tracking currently selected document
michael.stahl,paste table in footnote doss down
michael.stahl,paste table in footnote crashes
lionel,flat text database e g csv with header one row at each refresh
lionel,flat text database e g csv with header lose one row at each refresh
jluth,fileopen incorrect page height significance on a doc file
jluth,fileopen incorrect page height import on a doc file
kohei,countif function doesnt match empty formula cell issue
kohei,countif function doesnt match empty formula cell results
jluth,odf import page number is zero ooo of importing document written by legacy instead versions
jluth,odf import page number is zero instead of importing document written by legacy ooo versions 
kohei,countif and countifs second counting not set of added data
kohei,countif and countifs not counting second set of added data
kohei,validation using cell range is corrupted with newspaper column insert remove
kohei,validation using cell range is corrupted with column insert remove
erack,add editing analysis of variance anova total devsq returns err
erack,editing analysis of variance anova total devsq returns err 
jluth,and wrong image fileopen shapes position in doc
jluth,fileopen wrong image and shapes position in doc
michael.stahl,selecting along table when comment present on page crashes writer
michael.stahl,selecting table when comment present on page crashes writer
lionel,viewing subform link to principal fields never updated subforms always displays data of first principal row
lionel,viewing subform link to master fields never updated subforms always displays data of first master row 
michael.stahl,bitmap list in area dialog must not have pre selection
michael.stahl,bitmap list in area dialog must not have pre selection
erack,editing references to different sheet removed on dragging cell
erack,editing references to different sheet get removed on dragging cell
markus.mohrhard,editing named range changes when deleting cells or lines in some other sheet
markus.mohrhard,editing named range changes when deleting cells or lines in another sheet
jluth,fileopen docx sir frederick handley page size dimensions format ignored
jluth,fileopen docx page size dimensions format ignored
michael.stahl,builder report charts arent shown
michael.stahl,report builder charts arent shown
erack,sorting setting is a column labels range forgotten if any column label contains contains numeric value or is empty comment
erack,sorting setting range contains column labels is forgotten if any column label contains a numeric value or is empty comment 
markus.mohrhard,fileopen hang when try to open a particular xlsx
markus.mohrhard,fileopen hang when try to open a specific xlsx
serval2412,autoformat crash when using an exist name for a new preset
serval2412,autoformat crash when using an existing name for a new preset
erack,segfault getting accessible with attributes in calc cell object formula immediately upon launch
erack,segfault getting accessible object attributes in calc cell with formula immediately upon launch
erack,undo after control d fill doesnt for deleted undo inserted cells broadcast calculation
erack,undo after control d fill doesnt broadcast deleted undo inserted cells for calculation
jluth,fileopen docx section breaks not displaying correctly in
jluth,fileopen docx with section breaks not displaying correctly text in table
mikekaganski,fileopen docx file no longer atomic number opens from saxparseexception line
mikekaganski,fileopen docx file no longer opens from saxparseexception line 
jluth,be scenario should not xlsx automatically loaded
jluth,xlsx scenario should not be automatically loaded
michael.stahl,libreoffice uses wrong attribute for feature shrink to fit
michael.stahl,libreoffice uses wrong attribute for feature shrink to fit 
markus.mohrhard,array checkbox crashes in calc function wizzard
markus.mohrhard,array checkbox crashes calc in function wizzard
markus.mohrhard,hangs sort spreadsheet
markus.mohrhard,spreadsheet sort hangs
erack,editing with links to empty cells in other files
erack,editing operations with links to empty cells in other files
jluth,mailmerge does mail e not send all merged documents
jluth,mailmerge e mail does not send all merged documents
varga.balazs3,fileopen chart docx bars not imported
varga.balazs3,fileopen docx chart bars not imported
jluth,track changes show changes always marked as enabled
jluth,track changes show changes is always marked as enabled
jluth,incorrectly doc table fileopen splitted
jluth,fileopen doc table incorrectly splitted
jluth,fileopen docx file look to be empty
jluth,fileopen docx file appearing to be empty
erack,conditional format not updated on change value in a cell it calculate on by formula
erack,conditional format not updated on change value in a cell it depends on by formula
jluth,kmfl make up characters are not swallowed after completing the complex letter
jluth,kmfl characters are not swallowed after completing the complex letter 
vasily.melenchuk,filesave hyperlink text disappears after opening saving specific docx with index toc before the link
vasily.melenchuk,filesave hyperlink text disappears after opening saving specific docx with some index toc before the link 
markus.mohrhard,filesave docx one column chart is two instead of exported
markus.mohrhard,filesave docx one column chart is exported instead of two
dennisfrancis.in,cells with formula dont get deleted get under ones skin after undo
dennisfrancis.in,cells with formula dont get deleted after undo
michael.stahl,libreoffice freezes while changing the template of slides many gtk gtk
michael.stahl,libreoffice freezes while changing the template of many slides gtk gtk 
lionel,some forms stall with on problem its a date field open
lionel,some forms stall with on open its a date field problem
erack,formula cells not recalculated inserted column was after and in empty shifted column a formula cell is edited added when the next column is a editing
erack,formula cells not recalculated after column was inserted and in a shifted column a formula cell is edited added when the next column is empty editing 
erack,ui autofilter on date cells filter result doesnt correspond to user input
erack,ui autofilter on date cells filter result doesnt correspond to user input
markus.mohrhard,crash merge column on newspaper column data provider window
markus.mohrhard,crash merge column on data provider window
michael.stahl,rtf import wrong vertical position of lines
michael.stahl,rtf import incorrect vertical position of lines
dennisfrancis.in,formatting cellular telephone copying date formats in cells changes date for all cells in column
dennisfrancis.in,formatting copying date formats in cells changes date for all cells in column
serval2412,lo base report builder clangor on modifying page header horizontal or vertical alignment
serval2412,lo base report builder crashes on modifying page header horizontal or vertical alignment
Armin.Le.Grand,annotate viewing rotated text in a cell gets invisible steps in comment
Armin.Le.Grand,viewing rotated text in a cell gets invisible steps in comment 
nemeth,table content from docx evidence as text in writer
nemeth,table content from docx shown as text in writer
michael.stahl,crash when the body document after a specific undo redo operation paste due to inserted fly anchored at end of last paragraph in closing
michael.stahl,crash when closing the document after a specific undo redo operation paste due to inserted fly anchored at end of last paragraph in body
michael.stahl,crash unwrap after undoing a paste operation
michael.stahl,crash after undoing a paste operation
mikekaganski,hang when copying a sheet to a new document
mikekaganski,hang when copying a sheet to a new document
erack,error displaying than integer values if number of decimals is forced to more some
erack,error displaying some integer values if number of decimals is forced to more than 
michael.stahl,docx track changes particular document makes writer crash
michael.stahl,docx track changes specific document makes writer crash
Armin.Le.Grand,replacement of svgfilter by svgio seems to past break extensions e g texmaths
Armin.Le.Grand,replacement of svgfilter by svgio seems to break extensions e g texmaths 
s.mehrbrodt,electronic image eps images systematically get rasterized to bitmap
s.mehrbrodt,eps images systematically get rasterized to bitmap
momonasmon,calc toggle make up insert overwrite is broken since
momonasmon,calc toggle insert overwrite is broken since 
jluth,fileopen docx from blank freezes writer due to a style with a textmaker name
jluth,fileopen docx from textmaker freezes writer due to a style with a blank name
erack,calculation of minute wrong in libreoffice
erack,calculation of minute wrong in libreoffice 
jluth,filesave odt paragraph spacing not continue after rt
jluth,filesave odt paragraph spacing not preserved after rt
markus.mohrhard,calc crashes on opening night this specific file
markus.mohrhard,calc crashes on opening this specific file
markus.mohrhard,crash in equidistanttickiter inititer long
markus.mohrhard,crash in chart equidistanttickiter inititer long 
Armin.Le.Grand,reportbuilder unable to fields to report the add fields dialog
Armin.Le.Grand,reportbuilder unable to add fields to report using the add fields dialog
serge.krot,publish printing
serge.krot,printing
erack,assert when inserting vitamin a a chart as ole object
erack,assert when inserting a chart as ole object
Armin.Le.Grand,no page colour after selecting and applying one macos
Armin.Le.Grand,no page color after selecting and applying one macos
Katarina.Behrens,kde sporadic crash when right clack items in toolbar
Katarina.Behrens,kde sporadic crash when right clicking items in toolbar
mikekaganski,freezes when document open a odt i
mikekaganski,freezes when i open a odt document
Katarina.Behrens,kde only half of the toolbar is expose if its undocked
Katarina.Behrens,kde only half of the toolbar is displayed if its undocked
Katarina.Behrens,kde undocked toolbars are on top of dialogs slideshow
Katarina.Behrens,kde undocked toolbars are displayed on top of dialogs slideshow
michael.stahl,insert object from file
michael.stahl,insert ole object from file causes crash
Armin.Le.Grand,contour editor editor in chief crashes
Armin.Le.Grand,contour editor crashes
michael.stahl,table doesnt show up after undo only after save present reload
michael.stahl,table doesnt show up after undo only after save reload 
erack,format numbers dialog produces wrong format codes gtk un checking red or thousands only when
erack,format numbers dialog produces wrong format codes when un checking red or thousands only gtk 
serval2412,crash after stressful to switch to notebookbar gtk
serval2412,crash after trying to switch to notebookbar gtk 
michael.stahl,data loss writer autoformat delete spaces and tabs at and start of line dropping characters from with built paragraph styles
michael.stahl,data loss writer autoformat delete spaces and tabs at end and start of line dropping characters from text with built in paragraph styles 
serval2412,when pasting a sheet containing a d object
serval2412,crash when pasting a sheet containing a d object
dennisfrancis.in,editing on copying of rows with calc threaded enabled steps in comment
dennisfrancis.in,editing err on copying of rows with calc threaded enabled steps in comment 
Armin.Le.Grand,edit contour on image wrap doesnt appear of exported pdf
Armin.Le.Grand,edit contour of image wrap doesnt appear on exported pdf
serge.krot,lo shouldnt crash when opening docx even if mso cannot open warns about unreadable content
serge.krot,lo shouldnt crash when opening docx even if mso cannot open or warns about unreadable content 
Katarina.Behrens,kde unfinished dnd of a sheet wipe off all contents of the sheet
Katarina.Behrens,kde unfinished dnd of a sheet erases all contents of the sheet
michael.stahl,applying autocorrect to text with urls causes writer author to hang
michael.stahl,applying autocorrect to text with urls causes writer to hang
mikekaganski,crash renaming template
mikekaganski,crash renaming template
michael.stahl,compare text file crash in swlo swredlinedata setseqno
michael.stahl,compare documents crash in swlo swredlinedata setseqno
dennisfrancis.in,copying a large sheet is very
dennisfrancis.in,copying a large sheet is very slow
vasily.melenchuk,crash in rtl ustring acquire make over frame style undo redo
vasily.melenchuk,crash in rtl ustring acquire frame style undo redo
michael.stahl,crash entry in bullet list change tracking involved
michael.stahl,crash when removing entry in bullet list change tracking involved 
sbergman,mouse wheel no works longer
sbergman,mouse wheel no longer works
michael.stahl,after deleting schoolbook some text the libreoffice writer crash
michael.stahl,after deleting some text the libreoffice writer crash
serval2412,crash modify on a frame style
serval2412,crash on modify a frame style
s.mehrbrodt,impressment presenter view of impress x doesnt remember slide after slides and close
s.mehrbrodt,presenter view of impress x doesnt remember slide after slides and close
serval2412,crash when trying to delete unused user field
serval2412,crash when trying to delete unused user field
s.mehrbrodt,print preview with writer crash lo
s.mehrbrodt,print preview with writer crash lo
sbergman,restart in safe mode open containig folder doesnt work and show user profile gets a error indium message
sbergman,restart in safe mode open containig folder doesnt work and show user profile gets a error message
dennisfrancis.in,crash when sort by column of excel file with specific data
dennisfrancis.in,crash when sort by column of excel file with specific data
michael.stahl,cannot open odt pages
michael.stahl,cannot open pages odt
mikekaganski,importing crash file
mikekaganski,crash importing file
jluth,writer crashes when alt arrow up keys are pressed within a table row spanning two
jluth,writer crashes when alt arrow up keys are pressed within a table row spanning two pages
s.mehrbrodt,impress hyperlink on broken crashes click
s.mehrbrodt,impress crashes on broken hyperlink click
sbergman,oculus sinister file dialogs in mac os are in german
sbergman,file dialogs in mac os are in german
s.mehrbrodt,filesave docx signature line export creates invalid incapacitate document
s.mehrbrodt,filesave docx signature line export creates invalid document
Armin.Le.Grand,saved docx picture does not display doc fileopen by msword
Armin.Le.Grand,fileopen docx picture does not display doc saved by msword
mikekaganski,crash saving template file see annotate
mikekaganski,crash saving template file see comment 
serval2412,find previous with direction columns management crashes in specific condition
serval2412,find previous with direction columns crashes in specific condition
heiko.tietze,see log link is gone in new about dialog
heiko.tietze,see log link is gone in new about dialog 
dennisfrancis.in,crash vector m with insert fill large sumifs
dennisfrancis.in,crash vector m fill insert with large sumifs 
serval2412,crash when selecting a of part comment
serval2412,crash when selecting part of a comment
michael.stahl,in crash bigptrarray index block unsigned int anchor to paragraph
michael.stahl,crash in bigptrarray index block unsigned int anchor to paragraph
jluth,lo tab form controls writer order is broken
jluth,lo writer form controls tab order is broken
mikekaganski,master crash when pasting syllabus from external program
mikekaganski,master crash when pasting from external program
momonasmon,fileopen user defined flying field number format not applied to fields inside header or footer
momonasmon,fileopen user defined number format not applied to fields inside header or footer
michael.stahl,crash after clicking on a smash drop down form
michael.stahl,crash after clicking on a drop down form
vasily.melenchuk,crash cutting shapes
vasily.melenchuk,crash cutting shapes
dennisfrancis.in,error when saving bigger ods with password
dennisfrancis.in,error when saving bigger odt ods with password
serge.krot,xlsx file saved in libreoffice is corrupted and it previous is later not possible to open in excel
serge.krot,xlsx file saved in libreoffice is corrupted and it is later not possible to open in excel
jluth,footnotes always uses numbering by chapter for position end of text file document
jluth,footnotes always uses numbering by chapter for position end of document 
jluth,formatting saving doc to docx inside placement of text changes columns
jluth,formatting saving doc to docx changes placement of text inside columns 
markus.mohrhard,sort lists in calc not shown and adding a second custom defined list
markus.mohrhard,sort lists in calc not shown and adding a second custom defined list
lionel,editing values in correlated correlative subquery were not shown in queries
lionel,editing values in correlated subquery were not shown in queries 
dennisfrancis.in,editing results filled in wrong cells after text to columns
dennisfrancis.in,editing results filled in wrong cells after text to columns
erack,collapse when consolidate
erack,crash when consolidate
