vasily.melenchuk,"Unwanted ""Text box"" movement after Undo'ing last Move"
michael.stahl,Backspace has only effect on one character after rejecting all changes
erack,"Calc - AutoCalculate malfunction, always F9 (ReCalculate) necessary"
michael.stahl,Frame borders not visible with text direction set vertical
jluth,Clear Direct Formatting damages the document's styles
erack,FORMATTING fraction displayed and treated as dates
michael.stahl,FILEOPEN: Crash when trying to open attachment fdo#58277
jluth,EDITING - Rearranging Slides with Same Title Results in Duplicate Slides (and loss of slides)
markus.mohrhard,Calc chart removeByName crash
erack,Lorem Ipsum extension crashes LibreOffice
erack,Time values in csv import are misinterpreted
mikekaganski,Writer shows only first 3 pages of .docx file
jluth,Excel VBA: ActiveDocument is not tracking currently selected document
michael.stahl,paste table in footnote crashes
lionel,flat text database (e.g. csv) with header lose one row at each refresh
jluth,FILEOPEN: Incorrect page height import on a .doc file
kohei,COUNTIF function doesn't match empty formula cell results
jluth,ODF import: page number is 0 (zero) instead of 1 (importing document written by legacy OOo versions < 3.3)
kohei,Countif and Countifs Not Counting Second Set of Added Data
kohei,Validation (using cell range) is corrupted with column insert/remove
erack,"EDITING: Analysis of Variance (ANOVA): Total DEVSQ returns Err:508, while direct DEVSQ formula returns correct result"
jluth,FILEOPEN: wrong image and shapes position in .doc
michael.stahl,Selecting table when comment present on page crashes Writer
lionel,VIEWING: subform link to master fields never updated (subforms always displays data of *first* master row)
michael.stahl,"bitmap list in Area dialog must not have pre-selection, when called from a shape with background image"
erack,Editing : references to different sheet get removed on dragging cell
markus.mohrhard,EDITING: Named range changes when deleting cells or lines in another sheet
jluth,FILEOPEN: DOCX - page size/dimensions/format ignored
michael.stahl,"REPORT-BUILDER: Charts aren't shown, leave blank place on the page"
erack,"Sorting: setting ""Range contains column labels"" is forgotten if any column Label contains a numeric value or is empty (comment 38)"
markus.mohrhard,FILEOPEN: hang when try to open a specific XLSX
serval2412,AutoFormat: Crash when using an existing name for a new preset
erack,Segfault getting accessible object attributes in Calc cell with formula immediately upon launch
erack,Undo after Control-D Fill doesn't broadcast deleted (undo-inserted) cells for calculation
jluth,Fileopen: docx with section breaks not displaying correctly text in table
mikekaganski,FILEOPEN: DOCX - File no longer opens from 5.0 (SAXParseException  line 42)
jluth,XLSX scenario should not be automatically loaded
michael.stahl,"LibreOffice uses wrong attribute for feature ""shrink-to-fit"""
markus.mohrhard,array checkbox crashes calc in function wizzard
markus.mohrhard,Spreadsheet sort hangs
erack,"EDITING: Operations with links to empty cells in other files, gives #VALUE as result."
jluth,Mailmerge e-mail does not send all merged documents
varga.balazs3,FILEOPEN: DOCX: Chart bars not imported
jluth,"track changes - show changes is always marked as enabled, even after disabling"
jluth,FILEOPEN: DOC: Table incorrectly splitted
jluth,FILEOPEN DOCX: File appearing to be empty
erack,Conditional Format not updated on change value in a cell it depends on by formula
jluth,"KMFL characters are not ""swallowed"" after completing the complex letter"
vasily.melenchuk,FILESAVE: hyperlink text disappears after opening&saving specific DOCX (with some index/TOC before the link)
markus.mohrhard,FILESAVE DOCX: One column chart is exported instead of two
dennisfrancis.in,Cells with formula don't get deleted after undo
michael.stahl,LibreOffice freezes while changing the template of many slides ( gtk/gtk3 )
lionel,Some forms stall with 100% on open - It's a date field problem
erack,Formula cells not recalculated after column was inserted and in a shifted column a formula cell is edited/added when the next column is empty (EDITING)
erack,"UI Autofilter on date cells: Filter result doesn't correspond to user input, user input is modified automatically"
markus.mohrhard,Crash: Merge Column on Data Provider window
michael.stahl,RTF import: Incorrect vertical position of lines
dennisfrancis.in,FORMATTING: Copying date formats in cells changes date for all cells in column
serval2412,LO Base Report Builder crashes on modifying Page Header Horizontal or Vertical alignment
Armin.Le.Grand,VIEWING: Rotated Text in a Cell gets invisible (steps in comment 6 )
nemeth,table content from .DOCX shown as text in Writer
michael.stahl,Crash when closing the document after a specific undo redo operation (Paste) due to inserted fly anchored at end of last paragraph in body
michael.stahl,CRASH after undoing a paste operation
mikekaganski,Hang when copying a sheet to a new document
erack,error displaying some integer values if number of decimals is forced to more than 15
michael.stahl,DOCX track changes: Specific document makes Writer crash
Armin.Le.Grand,Replacement of SVGFilter by SVGIO seems to break extensions (e.g. TeXMaths)
s.mehrbrodt,eps images systematically get rasterized to bitmap
momonasmon,CALC: toggle INSERT/OVERWRITE is broken since 6.1
jluth,FILEOPEN: DOCX from TextMaker freezes Writer due to a style with a blank name
erack,calculation of MINUTE() wrong in LibreOffice 6.1
jluth,FILESAVE: ODT: paragraph spacing not preserved after RT
markus.mohrhard,calc crashes on opening this specific file
markus.mohrhard,Crash in: chart::EquidistantTickIter::initIter(long)
Armin.Le.Grand,REPORTBUILDER: Unable to add fields to report using the ADD FIELDS dialog
serge.krot,"PRINTING, PDF Export: Problem with selected cells which cross pages"
erack,Assert when inserting a chart as OLE object
Armin.Le.Grand,No page color after selecting and applying one - MacOS
Katarina.Behrens,kde5: Sporadic crash when right-clicking items in toolbar
mikekaganski,Freezes when I open a ODT document
Katarina.Behrens,KDE5: Only half of the toolbar is displayed if it's undocked
Katarina.Behrens,KDE5: Undocked toolbars are displayed on top of dialogs/slideshow
michael.stahl,"Insert OLE Object from file causes crash, if Experimental features are enabled"
Armin.Le.Grand,Contour editor crashes
michael.stahl,Table doesn't show up after undo (only after save & reload)
erack,Format Numbers dialog produces wrong format codes when un-/checking Red or Thousands; only gtk3
serval2412,Crash after trying to switch to Notebookbar (GTK3)
michael.stahl,"DATA LOSS: Writer AutoFormat ""Delete spaces and tabs at end and start of line"" dropping characters from text with built-in paragraph styles"
serval2412,Crash when pasting a sheet containing a 3D object
dennisfrancis.in,"Editing: Err:522 on copying of rows with ""Calc: threaded"" enabled ( steps in comment 6 )"
Armin.Le.Grand,Edit Contour of Image Wrap doesn't appear on Exported PDF
serge.krot,LO shouldn't crash when opening DOCX (even if MSO cannot open or warns about unreadable content)
Katarina.Behrens,kde5: unfinished DnD of a sheet erases all contents of the sheet
michael.stahl,Applying autocorrect to text with URLs causes Writer to hang
mikekaganski,CRASH: Renaming template
michael.stahl,COMPARE DOCUMENTS: Crash in swlo!SwRedlineData::SetSeqNo
dennisfrancis.in,Copying a large sheet is very slow
vasily.melenchuk,Crash in: rtl_uString_acquire: frame style undo redo
michael.stahl,Crash when removing entry in bullet list (change tracking involved)
sbergman,Mouse wheel no longer works
michael.stahl,After deleting some text the LibreOffice Writer crash
serval2412,"crash on modify a frame style, which has previously got writing-mode bt-lr"
s.mehrbrodt,"Presenter View of Impress 6.3.x doesn't remember slide after Slides and Close, as it used to, but returns to 1 during presentation"
serval2412,Crash when trying to delete unused User Field
s.mehrbrodt,print preview with writer crash LO
sbergman,Restart in safe mode: Open containig folder doesn't work and Show user profile gets a error message
dennisfrancis.in,Crash when sort by column of Excel 97-2003 file with specific data
michael.stahl,Cannot open 819-pages ODT
mikekaganski,CRASH: importing file
jluth,Writer crashes when Alt+Arrow Up keys are pressed within a table row spanning two pages
s.mehrbrodt,Impress crashes on broken hyperlink click
sbergman,File dialogs in Mac OS are in German
s.mehrbrodt,FILESAVE DOCX Signature line export creates invalid document
Armin.Le.Grand,FILEOPEN: DOCX: picture does not display doc saved by MSWord
mikekaganski,Crash saving template file (see comment 4)
serval2412,Find Previous with direction columns crashes in specific condition
heiko.tietze,See log link is gone in new About Dialog 7.0
dennisfrancis.in,"Crash: ""vector::_M_fill_insert"" with large sumifs"
serval2412,Crash when selecting part of a comment
michael.stahl,Crash in: BigPtrArray::Index2Block(unsigned __int64) anchor to paragraph
jluth,LO Writer form controls tab order is broken
mikekaganski,Master: Crash when pasting from external program
momonasmon,FILEOPEN: User defined number format not applied to fields inside header or footer
michael.stahl,CRASH: after clicking on a drop-down form
vasily.melenchuk,CRASH: cutting shapes
dennisfrancis.in,Error when saving bigger odt/ods with password
serge.krot,XLSX file saved in LibreOffice 7 is corrupted and it is later not possible to open in Excel
jluth,"Footnotes always uses numbering by chapter for position ""End of document"""
jluth,FORMATTING: Saving .doc to .docx changes placement of text inside columns.
markus.mohrhard,": Sort lists in Calc not shown and adding a second custom defined list, deletes a privious defined custom list"
lionel,EDITING: Values in correlated subquery were not shown in queries.
dennisfrancis.in,EDITING: Results filled in wrong cells after Text to Columns
erack,CRASH when Consolidate
kohei,FILEOPEN: pictures in .xls spreadsheets no longer displayed
kohei,ROW() value is not updated if row is inserted after
jluth,FILESAVE: double lined cell borders get lost due after saving as ODS and reopen
jluth,FILEOPEN DOCX layout messed up with wrong number of pages (continuous break changed to page break)
lionel,cell value in table grid a date/time control incorrectly displayed
nemeth,"Fileopen DOCX: Text in table different width in Writer (multiple lines) and Word (single line) for Microsoft fonts - 0,1cm difference"
michael.stahl,FORMATTING: Numbering list in DOCX does not continue previous numbering
jluth,[FORMATTING] spacing above and below a table incorrect in specific .doc-file
michael.stahl,FILEOPEN: Writer crashes on loading a particular .doc document in Windows
markus.mohrhard,Manage Conditional Formatting is not able to edit a condition
erack,502 err in master but not in LO 5.3.2.1 to 5.4.4
jluth,Libre office Swriter crashes when opening Microsot word doc in 97-2003 doc format
jluth,FILESAVE: DOCX: file cannot be opened in MSO / numbering lost in LO
Armin.Le.Grand,Lines created in Draw are not visible when printed (Windows-only)
michael.stahl,Crash in: sw::GetParaPropsNode
kohei,VIEWING:  Cells scrolled in show contents of other cells.
dennisfrancis.in,FILESAVE: Automatic font color of text not persisted if cell has line break and non-automatic font color
dennisfrancis.in,Editing circular reference causes #VALUE! error
michael.stahl,Adjusting column or row sizes in a Writer table causes artifact lines
raykowj,"New UNO commands for ""Zoom in"" and ""Zoom out"" of document canvas, to support keyboard zoom  (comment 21)"
jluth,FILESAVE: Saving File in Temporary Folder - usability issue
kohei,PRINTING: after leaving Print Page Preview with <esc> particular documents will CRASH
markus.mohrhard,"EDITING: CRASH when Merge Cells with ""move contents"" and first of merged Cells is involved in calculation"
lionel,"[DATALOSS] when basic, but not dialog, library loaded, save ""forgets"" to save the dialogs"
erack,CRASH: LibO crashes when paste a formula from other languages
markus.mohrhard,LibO crash when creating chart with no cells selected
serval2412,CRASH closing IDE
markus.mohrhard,"FILEOPEN 3.5 document: conditional formatting of type ""Formula is"" not  recognized correctly, lost after saved"
michael.stahl,Writer WW8 EXPORT: LibreOffice Crashes saving .doc file with invisible pictures
markus.mohrhard,EDITING: CONDITIONAL FORMATTING not included in copy-paste cell
jluth,A Scripting Framework error occurred while running the UNKNOWN script UNKNOWN.
kohei,CRASH: Calc craches when sorting
kohei,function does not work Edit> Fill> Series> AutoFill
kohei,out_of_range_exception when inserting/deleting rows with absolute reference
kohei,copy cells from calc and paste in writer makes libreoffice crashed in mdds
kohei,FILESAVE: ods files saved with different Asian font family in the same cell will brake the archive
momonasmon,LODev 4.4  Calc crashes when you click on fx button
michael.stahl,CRASH by segmentation fault when trying to open the contextual menu of a picture
kohei,Sorting a column of linked formula gives Error 523
Armin.Le.Grand,Freeze with simple animation Impress
erack,Crash/hang after deleting column in XLSX or deleting and saving
erack,FILEOPEN Calc crashes on opening xlsx document
michael.stahl,crash after switching on the bibliography 'number entries' option (steps in comment 8)
lionel,Data Records Not Saved to External Firebird Database File
erack,CRASH: When copying/pasting a Calc Sheet (multi_type_vector::get_type#1613: block position not found!) (steps in comment 8)
serval2412,"After save a DOCX file, it gives a error when it try to be open (avoid duplicate themeColor)"
michael.stahl,Crash specific undo/redo dance
markus.mohrhard,findAll doesn't work
mikekaganski,Drawing styles lose parent-child relationship on FILESAVE FILEOPEN
kohei,FILEOPEN: Selected file type is not honored for HTML files
sbergman,CRASH when browse to HD root directory in FILEOPEN Template dialog
erack,FORMATTING: ISO 8601 date detection overrides locale's date order if '-' is the date separator
markus.mohrhard,EDITING: CRASH when undo sort with chart
markus.mohrhard,EDITING: Sort rows for will sort columns
markus.mohrhard,EDITING: Cell used in a formula is considered non-empty
kohei,Too slow to import file with lots of cells with multi-line contents.
markus.mohrhard,CRASH FILEOPEN particular .ods with Conditional Formatting
markus.mohrhard,FILTER: Autofilter incorrect if filtered cells are referenced in formulas
kohei,"PIVOTTABLE  from Datasource (Base, Query) has no value (regression)"
erack,FILEOPEN Calc text import dialog preview with non-default separators initializes too long
sbergman,"Cannot Edit ""My Documents"" Under Tools > Options"
sbergman,"UI: ""Tools - Bibliography Database"" does nothing"
markus.mohrhard,CRASH when edit CONDITIONAL FORMATTING
markus.mohrhard,"FILEOPEN particular .xlsx: ""IF"" condition not calculated"
sbergman,"Extension upgrade fails with error ""Cannot create folder"""
markus.mohrhard,"Conditional formatting lost after paste special of text, numbers and dates."
Armin.Le.Grand,"EDITING: PHOTO ALBUM, crash Insert slides a large number of photos"
sbergman,CreateUnoDialog doesn't
s.mehrbrodt,FILEOPEN: DOCX Import - Signature line doesn't show digital signature
lionel,Queries based on linked tables not editable
jluth,FILESAVE:cross-reference heading field not visible in doc format
erack,EDITING sigma icon (sum function) operating on selected range
michael.stahl,Certain graphics lost in PDF export if lossless compression used
markus.mohrhard,Calc crashes when inserting a column
lionel,Embedded Firebird : content of a VARCHAR text field is truncated to 17 characters
kohei,FILEOPEN: Calc fails to import shared formulas from BIFF5 (Excel 5.0/95)
bakos.attilakaroly,[FILEOPEN]: DOCX import filter loses the frame’s (object’s) background bitmap
serval2412,Slide Transition: Sound list box does not include all sounds when is in non-English UI
sbergman,Other: Send as --email error
michael.stahl,"UI: Line Numbering ""Format"" dropdown list is blank"
markus.mohrhard,Copying & paste special / Paintbrush of conditional formatting applies to wrong cell range
Armin.Le.Grand,Insertion of DXF image fail to produce a correct image
lionel,LO Base grid – change DataField name form reload on button pressed event doesn't refresh data
dennisfrancis.in,[UI] Search filter in Autofilter breaks searching by typing in the list: OK button is blocked
michael.stahl,Crash on handling frame in Navigator
momonasmon,Submenus of MenuBarManager based context menus don't work (OS X native menus only)
dennisfrancis.in,Calc crashes on filtering with select checkbox with space bar
markus.mohrhard,LO Calc very poor performance when saving to ODS or CSV on large spreadsheet
s.mehrbrodt,"Find Toolbar does not display ""Search key not found"""
michael.stahl,"Assertion ""(!mpShapeMap || mpShapeMap->empty())"" failed when doing a print preview"
vasily.melenchuk,FILEOPEN / FILESAVE: Cross-reference (with white space in name) broken after saving as DOCX
momonasmon,Crash when just displaying LibreLogo and click >> (accessibility/gtk/gtk3)
jluth,FILEOPEN DOC: File is opening very slow
erack,"5.4.0.0.alpha0+, built after April 24, doesn't start on Windows XP and Vista"
michael.stahl,Sidebar extension crashes Writer when inserting Chart
serval2412,"Firefox themes cannot be installed, it finds nothing"
serval2412,Delete a sheet in a calc document and LO crashes.
Armin.Le.Grand,measure lines (dimension line) have no value
michael.stahl,"LibreOffice no longer providing formatting information to Orca when ""Orca MOdifier Key + f"" is used"
mikekaganski,LibreOffice hangs when in Calc copying formula while in edit mode <F2> then leaving field with escape
zolnaitamas2000,Form fields are displayed twice (double)
m.weghorn,Presenter console has gone missing recent master
michael.stahl,CRASH: cutting content of document
erack,Style 'Result' and 'Result2' have been removed; Subtotals do not get automatic formatting any longer
michael.stahl,layout change with paragraph line spacing in table cells caused by fix for bug 125300
zolnaitamas2000,"pptx import: blue background, save/reopen as .odp changes to gray"
jluth,FORMATTING: Tables Alignment lost when exporting to DOC and loading in MS Word
kohei,Print range is missing when sheet is copied
jluth,DOC TabOverMargin doesn't work for Left or Center margins
kohei,Auto Filter disables incremental autofill function
markus.mohrhard,EDITING: Undo not available for Merge Cells in Calc
mikekaganski,Unable to change name of a custom style
mikekaganski,MathType OLE formulas show (and print) very incorrect
kohei,EDITING Find/Replace modifies formula in R1C1 syntax to invalid lowercase
erack,EDITING [IT]: Italian Date containing martedì not parsed as Date
nemeth,EDITING: Numbering in numbered list doesn't show when affected by tracked changes
erack,FILESAVE: Crashes while saving a file
kohei,": Find, replace, regular expression bug"
markus.mohrhard,[EDITING] selecting cells with Shift-Arrow with filtered rows/columns does not skip hidden rows/columns
jluth,FILESAVE: DOCX - Tab stops added to lines that didnt already have them
sbergman,String with name of places in File open dialog show spaces as %20 etc
jluth,FILEOPEN particular .docx with destroyed TABLE structure (start at comment7)
michael.stahl,FILEOPEN: Opening powerpoint ODF presentation results very small text
zolnaitamas2000,Search Bar history is always empty
zolnaitamas2000,FILESAVE: FORMCONTROLS: Form controls not saved in .docx
lionel,"SIGSEGV:  ODBC to PostgreSQL, renaming column in SELECT list"
sbergman,Hidden MediaWiki options page
sbergman,: FILE SAVE AS:  Can not edit read-only file after SAVE AS
jluth,FILEOPEN: Docx import results  in partially incorrect paragraph style (adds italics style to font property)
serval2412,EDITING: Clicking on Drawing after editing a Group inside a Group causes Crash
erack,Calc single cell filling (Ctrl+D) does not change data at input line
sbergman,FILEOPEN: LO cannot open more than one file at a time from Mac Finder
kohei,FILEOPEN: specific XLS (Office 2003) file crashes LibO 3.6
jluth,FILESAVE:  Footnotes do not remain at end of document in .doc and .docx formats
markus.mohrhard,"REGRESSION Crash when subtotals calculated for ""none"" with cell selected outside subtotal range"
markus.mohrhard,CRASH when FILESAVE particular .ods after deletion of rows
jluth,: horizontal/vertical flip of inserted picture is not persisted
michael.stahl,undo insertion of table row (or table column) crashes in A11y code
jluth,FILEOPEN - A particular docx has a black background where text should be
michael.stahl,Textbox properties export to PPT bad (Impress)
markus.mohrhard,"CONDITIONAL FORMATTING: Loss of configuration in ""Manage"""
markus.mohrhard,"UI Conditional Formatting > Manage: all conditions shown fully, last with missing bottom half"
kohei,Copy and paste chart fails if the source sheet does not have the default name
markus.mohrhard,"FILESAVE: FILEOPEN: save ods in lo3, open/save in lo4 -> conditional formatting broken"
michael.stahl,EDITING: Impossible to fill text into Fields - Functions - Placeholder - text
markus.mohrhard,Crash when adding a comment on a cell
kohei,LibreOffice crash when opening a non-ascii named file in XML Source
dennisfrancis.in,"Data labels overlap in pie chart for small pies when ""best fit"" placement option is set."
erack,EDITING: 'Autofill - Date - Months' wrong if day of month exceeds max. days of month
jluth,FILEOPEN: sometime import controls in xlsm document don't fire macros
nemeth,"FILEOPEN: Table in docx is not rendered correctly due ""repeat heading"" (bad handling of isolated tblHeader row settings)"
kohei,autosniffing of ODB content type broken
nemeth,Add new menu options to move rows/columns in tables without overwriting the original cells
michael.stahl,EDITING: automatic insertion of non-breaking space before specific punctuation marks in French texts broken
michael.stahl,REPORTBUILDER: Crash by following case 2 from fdo#61725 + click cancel
markus.mohrhard,FILEOPEN: CALC doesn't import scaling factor set on xlsx files
